3365,784,45,589
3373,73,33,46
3374,10,2895,9
3382,33,1741,12
3426,375,2775,220
3469,7,199,2
3471,22,398,10
3475,4,1741,2
3517,1,1248,1
3519,350,1371,292
3520,134,1298,62
3533,2,1741,2
3593,37,64,12
3594,108,1741,30
3615,256,1741,214
3632,1,1412,1
3640,2,2561,1
3652,4,949,4
3682,3,1299,3
3685,3,870,2
3692,40,1261,33
3698,2,2670,2
3713,9,585,9
3750,1,1121,1
3756,6,1385,5
3804,8,195,6
3818,163,195,150
3839,28,984,11
3840,186,1741,67
3844,12,405,10
3859,28,459,13
3861,8,1409,4
3878,24,1741,16
3922,45,1741,35
3936,907,861,685
3946,319,297,251
3968,1,2077,1
3977,3,1299,3
3978,2,236,2
3991,14,1741,14
4002,94,2699,86
4030,456,1741,351
4038,6,396,6
4045,18,195,8
4107,7,33,2
4178,1,48,1
4230,42,2152,28
4232,6,45,3
4233,71,1747,71
4243,3,1752,3
4244,2,1299,1
4267,2,481,1
4358,9,1629,5
4375,6,585,2
4406,47,585,21
4417,253,2489,234
4424,1,494,1
4436,13,297,7
4444,169,2980,141
4455,24,1035,11
4461,141,1299,102
4480,18,217,8
4488,49,195,31
4490,145,535,128
4509,5,870,4
4516,3,195,3
4517,2,2707,2
4518,40,1747,32
4521,5,297,5
4538,127,1747,117
4544,2,3211,1
4558,59,195,51
4575,4,784,1
4578,56,45,22
4598,26,33,6
4602,188,1299,106
4604,93,1122,93
4610,12,397,6
4615,54,1741,33
4618,12,216,8
4629,80,583,68
4636,268,949,185
4642,11,883,6
4650,20,923,20
4671,10,33,10
4678,13,585,7
4696,20,1741,15
4711,1131,861,777
4712,7,33,6
4733,1,1741,1
4734,2,535,2
4785,54,2516,18
4791,101,195,45
4795,1,1380,1
4801,80,2402,37
4805,1,1741,1
4812,35,471,24
4833,33,1038,15
4834,113,1741,28
4841,46,861,35
4858,1,1741,1
4872,1,195,1
4882,70,45,42
4893,6,1741,6
4902,85,2273,79
4904,932,230,457
4913,1,1298,1
4916,57,861,50
4927,2,1741,2
4931,25,297,17
4936,170,870,92
4945,3,1364,3
4988,41,1747,20
4999,35,236,19
5001,2,1288,1
5002,1,398,1
5027,7,33,5
5030,371,1741,167
5039,37,2933,25
5047,66,195,31
5091,12,747,9
5093,64,601,35
5102,3,33,3
5103,52,33,42
5107,288,2260,172
5112,57,1747,41
5117,3,236,2
5131,34,1299,33
5149,464,297,189
5155,13,949,10
5171,39,33,25
5212,280,585,163
5215,54,195,39
5227,1,405,1
5236,40,146,20
5240,6,195,5
5242,3,195,3
5243,1,1038,1
5250,7,2924,4
5253,3,1741,3
5256,29,1741,29
5263,1,2799,1
5267,4,195,2
5277,33,784,25
5279,12,1325,12
5295,420,1741,319
5308,10,195,4
5325,2,1741,2
5331,1,1299,1
5334,23,1741,9
5338,8,912,8
5339,19,471,10
5348,9,861,8
5356,23,2799,11
5357,101,1747,101
5374,13,2942,8
5378,12,535,7
5382,28,870,16
5409,42,601,24
5413,267,1741,238
5457,2,50,1
5460,11,585,8
5464,5,535,4
5489,46,1741,25
5497,4,195,3
5500,2,1747,1
5504,158,949,123
5508,29,33,27
5517,29,862,23
5518,1,396,1
5524,6,764,5
5528,1,2413,1
5532,1,33,1
5537,2,1741,2
5601,5,1544,4
5605,5,1021,5
5608,8,2550,6
5616,10,1782,7
5618,15,1741,12
5622,15,583,11
5628,94,217,72
5649,513,1741,473
5651,45,1747,30
5652,2,861,2
5672,1,1560,1
5681,2,1741,2
5684,84,1741,77
5696,145,398,139
5699,8,1741,7
5711,53,1741,49
5714,3,1741,3
5725,1,649,1
5737,68,50,36
5751,10,1741,3
5758,43,195,24
5806,1,872,1
5814,169,1741,131
5827,198,2613,198
5841,134,1266,84
5879,1,1741,1
5908,577,2079,338
5909,2,862,2
5934,135,35,60
5943,5,1741,5
5949,48,949,24
5973,197,2078,177
5975,24,195,11
5984,77,1747,20
5997,31,236,23
6049,3,1741,3
6080,20,2271,20
6125,13,3150,5
6132,9,1299,7
6134,3,869,2
6136,22,949,11
6140,29,1741,17
6148,1,37,1
6177,8,2566,5
6192,1,195,1
6193,17,396,8
6210,47,305,36
6217,88,937,55
6233,3,535,2
6328,11,1920,3
6359,40,1261,38
6417,18,236,11
6420,32,2152,32
6436,2,1752,2
6442,3,33,2
6504,6,1986,4
6512,18,1299,13
6525,153,1766,120
6547,19,36,7
6579,1,984,1
6587,198,1741,169
6592,15,1741,11
6593,4,1741,3
6607,46,1741,39
6631,126,195,113
6657,17,45,10
6664,82,1741,59
6709,59,1183,36
6735,13,949,11
6760,26,1741,26
6779,58,45,56
6797,17,33,8
6837,23,33,17
6853,42,197,35
6868,14,1741,4
6872,84,2799,64
6882,33,405,21
6906,7,1741,6
6926,5,2826,5
6940,1,1747,1
6941,1,1741,1
6948,1,398,1
