884,277
981,1093
786,25
605,3
534,2
3169,4
3051,7
1728,6
724,2
1435,51
871,151
2778,37
651,48
1563,42
1107,3
2415,19
2655,233
2481,13
1131,214
1994,28
911,18
33,6331
2682,19
300,54
430,5
1716,17
210,166
1454,2
2442,14
922,17
17,125
461,217
3084,5
842,62
136,51
464,14
2918,10
1446,2
861,1275
18,90
216,155
732,16
1704,60
395,103
3017,4
992,17
1723,79
1787,2
164,70
3189,9
223,286
2571,85
957,29
2686,9
3192,2
10,3
2782,11
559,20
2356,2
2514,5
2668,51
2424,20
1886,3
3061,2
1782,836
2061,80
3003,9
618,77
2054,10
1650,2
3153,11
3158,239
272,16
2168,63
1234,4
2353,1
3007,15
42,4
2763,1
1923,52
2258,22
1049,10
303,4
421,4
3096,20
1136,2
2801,9
1674,25
361,18
1387,5
1184,26
2210,2
1916,12
465,24
445,1
2010,1
717,5
1228,104
3085,22
1892,2
765,21
1840,5
2958,13
1510,15
1719,4
2946,1
1274,22
85,1
332,28
32,2
1333,307
2822,5
2531,92
656,11
2559,6
1424,269
1437,17
1104,55
1595,18
271,12
2064,99
1052,26
1471,19
1913,8
2006,1
2031,1
1038,567
2608,3
658,6
535,3233
1738,13
2736,40
1745,2
473,13
2455,17
1456,57
567,214
369,51
2561,95
2195,104
1939,11
1632,2
2746,17
2390,1
41,205
685,7
1263,255
2926,2
322,8
1249,1
850,16
1678,5
1281,1
1170,4
1272,16
976,8
1931,158
2704,5
1014,1
2606,39
2385,13
3091,10
1573,86
2909,28
1747,1342
373,7
2625,28
1108,65
2970,1
126,5
49,84
1160,53
1682,74
2072,6
2574,6
307,282
1811,1
2212,5
1326,2
2610,56
733,54
1427,173
1790,15
936,241
525,1
1588,56
584,11
56,259
495,14
1497,18
317,273
3167,13
3142,34
1269,34
2425,317
2993,9
680,7
1977,123
853,6
1341,865
2983,1
337,2
1505,28
161,4
293,1
2581,6
917,4
2890,5
2869,8
1265,137
2804,235
3175,14
2548,3
359,42
1204,17
1706,14
1433,9
1636,8
568,5
334,41
2128,11
374,1499
2297,4
1002,19
260,22
970,7
3200,3
2798,64
1093,8
2726,30
168,61
1298,180
1843,9
2737,13
1080,5
650,725
279,134
2029,8
761,11
2767,11
70,7
2612,20
2792,8
2387,80
1528,11
1733,1
1478,7
48,956
2949,1
1764,4
969,62
2545,47
1155,24
1182,28
2589,266
823,69
816,4
2560,9
2337,52
435,5
2204,6
1117,5
1244,547
1838,13
2383,13
2198,55
2525,1
313,24
1078,70
2474,19
1903,114
2620,46
782,13
2344,2
2530,22
3188,1
935,127
2134,5
2881,4
252,4
931,3
2087,18
2857,1
1965,3
1316,59
158,73
975,4
2290,15
1577,1
2463,42
1708,34
2005,4
348,29
714,5
1113,33
396,2459
2154,11
1291,5
748,6
2760,16
170,20
1373,7
1998,4
2968,1
1219,2
2150,2
2975,114
2656,11
82,1
1463,33
434,30
622,2
2177,24
664,1
2416,7
2291,1
883,192
2042,273
2117,7
3059,75
2908,6
1696,78
599,3
1948,2
1934,4
1457,44
417,44
2521,9
342,3
1099,58
2551,190
2735,154
261,14
2898,6
2999,3
257,52
1800,9
2155,8
2756,1
813,4
2751,2
1586,16
2350,12
561,72
108,5
1469,8
1247,2
2093,6
1103,3
2330,26
890,379
3161,1
725,13
420,45
1852,185
1203,5
3214,2
1381,20
2542,1
59,51
1009,7
103,4
2388,12
3094,5
2181,5
2538,10
2075,7
1079,5
3027,2
944,11
2873,6
1589,11
2511,77
2587,8
2413,409
2564,101
81,1
3036,7
2825,24
1765,27
1623,15
2684,4
1757,5
2227,9
1492,2
320,9
2452,10
2705,3
472,3
243,17
2471,11
2251,114
2278,20
69,4
1064,4
410,12
2120,4
661,47
3028,12
2947,2
159,16
504,51
1258,8
3070,55
2121,4
1645,6
2671,17
2961,5
484,187
274,8
1100,2
1666,44
2844,5
2631,39
1714,2
1325,1217
2411,5
1794,14
1191,2
1709,8
1393,9
1441,10
1218,2
2456,6
1481,13
594,13
2420,14
766,15
1350,4
1015,9
2637,8
446,47
2446,28
958,30
215,5
551,771
289,51
2197,9
2912,8
2109,5
767,47
2027,41
2045,27
1199,10
2217,29
2938,17
1161,19
2597,12
519,6
1132,2
1105,57
2700,25
3164,15
213,32
1484,13
818,5
47,518
988,126
684,2
2036,7
1229,21
2193,5
2943,6
1737,79
204,54
2698,267
1412,141
296,22
913,10
380,98
1684,1
2461,3
3221,44
545,55
1900,13
1897,3
3180,477
1415,9
1133,4
1879,16
309,37
3171,14
24,12
2730,3
2219,308
1174,10
1176,4
691,8
2460,6
582,68
707,4
375,48
698,6
1428,2
2286,3
3022,4
221,5
973,186
912,59
1072,52
1823,18
1306,2
631,1
713,91
1360,5
1227,34
2960,7
2319,255
2307,19
63,6
1035,889
1519,12
959,5
2931,24
852,6
1553,47
324,11
2994,3
1447,3
382,9
306,20
796,253
37,13
1860,7
3144,4
1233,5
1178,4
2626,14
2643,20
2902,55
2041,2
1549,364
2879,43
2223,17
2897,4
2833,113
1740,202
3163,13
783,3
996,100
1912,10
1338,2
1345,17
1718,8
589,18
870,1812
428,5
1698,52
900,9
3098,6
482,704
1744,32
665,2
3046,12
2364,2
1671,3
2377,2
3136,1
1348,3
1407,48
1536,10
29,5
1880,3
639,2
1297,8
1935,4
1751,12
2646,3
872,341
1489,20
2811,4
1362,93
572,62
2693,11
613,5
2091,1
1634,11
1192,105
1828,19
1940,27
1238,3
754,162
657,3
1722,8
1986,79
3187,79
1701,14
1172,7
865,40
2942,713
1436,1
1785,2
1087,10
1082,16
633,5
2402,370
67,153
905,5
607,6
2068,263
587,412
2501,327
2468,14
2640,23
2391,32
1372,39
3160,4
1871,35
2419,65
3199,20
84,9
1156,6
1748,3
226,21
851,7
895,16
2485,4
459,803
236,751
1847,10
503,10
1246,11
801,5
2443,8
615,188
2721,4
2084,77
193,33
625,1
575,10
2520,2
2878,7
2008,8
345,4
537,68
1472,18
90,4
1458,45
652,1
2444,24
2009,11
1091,6
1135,1
2088,14
986,49
1653,4
982,154
2403,212
1874,36
1810,9
187,669
2569,111
1945,10
798,66
1705,58
874,195
2613,393
1251,71
2301,9
2317,51
2614,6
233,248
2261,68
1383,18
2717,1
3133,44
2796,18
1224,4
885,2
1271,15
827,8
2785,15
379,10
333,10
2379,11
771,170
2624,26
795,18
740,6
2794,19
539,69
487,4
1186,5
230,194
1250,2
3119,1
2285,2
1795,19
1724,4
2044,1
1732,16
1409,281
343,4
1077,19
565,944
220,3
2332,213
1822,1
2488,4
2312,1
2335,13
1278,4
2001,6
1467,3
926,429
2676,6
2952,9
2828,3
3122,1
1699,6
1651,6
2913,2
2580,11
65,720
1537,2
1842,10
1216,2
1856,5
1299,1369
1568,21
1845,8
1495,120
1449,14
133,4
39,4
238,24
1889,4
360,8
2106,3
2636,7
1812,2
2146,3
2750,8
863,85
2298,15
2279,7
3157,7
2578,6
1114,13
2911,1
2331,2
1821,4
2899,19
486,8
1758,23
784,927
1500,42
980,75
1384,6
1725,5
1857,1
1273,13
1319,8
2791,10
2022,1
71,9
2678,24
2240,1
1807,8
145,1
2829,9
249,37
1318,7
2950,28
1286,2
1101,8
2877,3
1332,3
259,23
284,48
2957,33
2135,19
2414,127
2203,2
234,48
26,20
2973,92
2081,2
264,29
2151,2
2595,2
997,30
1125,296
2524,1415
1906,8
1808,3
2654,33
1936,4
1691,2
2118,156
967,211
3030,6
2090,82
2047,62
2703,13
1832,2
2504,44
693,10
620,6
1952,3
2067,156
1137,11
840,58
3,20
2517,4
910,6
3177,167
66,4
3141,41
595,503
1013,1
2720,23
253,161
3172,5
3080,1
1533,2
2758,3
2663,91
1121,72
858,2
1453,17
1837,7
383,2
281,3
1891,21
