25003,738,1085
28039,229,557
38009,48,87
01013,135,305
36057,733,1342
37149,354,689
53015,1244,2410
22065,58,135
48041,3452,6076
27085,458,888
13195,458,1086
21097,175,335
35039,593,1125
13013,1412,3103
06009,675,1267
29183,5559,9913
31045,21,41
16077,104,251
37031,834,1490
40061,87,196
55085,377,667
48309,2906,5473
29047,5066,9264
45083,3396,6710
18025,96,187
28031,284,658
05063,324,702
35029,194,413
13189,213,481
18123,119,213
48011,22,48
54089,74,156
47085,119,237
39077,1036,1964
01059,372,885
35041,262,536
27001,148,250
48163,154,336
21041,131,309
47151,92,175
18103,446,975
13085,468,979
27093,307,590
51193,238,524
13273,110,231
29185,76,169
01095,1184,2758
26005,2211,4273
56021,1302,2458
42095,5029,8782
12103,17543,29502
22105,1723,3565
47029,348,726
48061,3453,7792
48057,210,431
26089,366,648
48253,218,460
31099,70,130
39145,383,762
28131,239,545
50019,213,372
28107,405,963
49027,75,175
32033,92,197
47121,215,459
06019,8897,18881
19119,74,151
45005,59,149
04013,54323,107085
12133,357,756
41059,802,1805
01023,26,58
39017,6281,11754
36069,1600,2709
48111,121,276
45041,1642,3441
19005,64,115
48435,43,93
47023,181,353
05113,53,103
09003,13567,22378
17067,157,306
19139,477,893
55063,1378,2168
28017,221,541
49023,129,310
42111,502,851
19041,142,292
38017,2820,4704
56003,60,112
48047,66,146
48303,4097,7663
37081,9099,16758
13311,311,650
08007,41,75
51510,9462,15854
47027,46,92
53061,14043,25083
13147,274,665
27143,184,360
35049,2200,3818
39147,784,1462
27043,106,195
18029,840,1571
36007,1663,2844
47037,17254,32494
30087,65,141
18177,542,1032
18045,277,587
28153,137,288
45011,226,489
01111,193,438
18065,640,1211
06061,8312,15138
51760,8125,14339
46103,1548,2925
51720,89,169
13249,37,90
41035,633,1186
48039,6240,12577
51021,35,76
35037,23,50
37055,260,421
13285,924,1989
29015,189,381
28141,104,264
42109,365,619
18143,323,659
29083,299,658
05035,628,1371
17033,49,95
46039,49,84
36063,2229,3622
22079,1336,2793
26039,62,120
51770,2329,4483
23021,154,292
12119,1546,2886
13303,54,126
47147,1262,2571
20161,1772,3542
48399,105,224
23017,680,1158
36037,703,1161
51173,186,389
48341,331,658
37159,1745,3636
21093,1873,4310
31059,21,38
46057,74,167
48357,44,107
26009,338,644
19035,51,96
20083,21,53
55127,1807,3182
13215,5401,11330
30005,23,53
39135,597,1108
41071,1542,3044
20001,102,206
20103,1598,3781
37071,2640,5331
