49043,744,1533
22101,455,1032
48227,233,472
08031,32637,52768
16027,3784,8287
29083,287,586
21227,1279,2419
54095,56,130
42101,24683,37772
48237,93,200
22077,233,498
06009,763,1508
19067,123,230
02188,46,91
48035,238,497
47157,10342,20719
48069,22,41
05147,28,57
09011,3631,6195
37109,1316,2847
05071,169,357
13023,121,285
37189,460,781
42017,10195,18220
47085,118,244
13315,24,55
42123,262,503
21093,1507,3210
17009,28,57
33003,869,1455
08097,338,576
19123,211,425
55099,26,52
19061,821,1437
13233,491,1095
47139,241,539
51073,507,1012
08089,84,184
29209,483,1035
05059,464,956
27101,54,103
06041,5236,9000
47097,261,556
39071,620,1275
50007,2159,3165
48213,1491,3142
47089,878,1901
55091,105,188
39133,2771,4913
48367,3058,6838
47153,232,565
13077,2807,6567
20085,126,234
50027,822,1359
13151,5623,12066
19041,155,296
12013,151,337
53037,735,1229
40087,1042,2428
01093,300,668
46039,26,64
06115,1374,3106
48245,3205,6517
18043,1687,3381
37071,2949,5997
40037,1501,3265
39083,640,1269
51017,20,32
13251,130,276
20043,60,147
22111,275,602
28151,220,487
13013,1829,3965
46027,96,185
36093,2426,4150
51057,46,104
12097,10348,21299
55087,3761,6759
29143,243,526
39029,921,1735
53071,662,1358
01021,526,1277
48141,8587,20133
29215,205,508
13299,312,733
05045,1751,3432
48465,339,726
05081,94,209
40127,29,70
08065,51,92
22035,30,65
13173,184,407
17133,526,1038
51175,225,482
32001,251,509
21125,629,1301
20197,83,195
48383,22,70
26087,1471,2909
40093,72,173
48077,158,362
40017,3276,6872
19059,114,201
20119,21,53
25023,8633,15014
42065,418,757
39015,785,1547
48059,239,507
48199,960,2052
47123,493,1103
01001,972,2148
18141,2952,5603
27045,230,437
29135,176,373
12085,3384,6127
48281,373,786
13217,2270,5102
29225,647,1467
54003,1811,3457
39081,546,1106
48503,88,169
13195,443,1017
10003,6827,12221
23005,5513,8425
30041,78,173
36103,16007,27938
31185,87,167
48317,65,177
