twitter14,IRS14,IRS14exempt
38,1799,3655
38,631,1200
38,1882,3323
38,1152,2326
38,597,888
37,2270,4510
37,2517,4953
37,266,342
37,1022,2144
37,1206,2406
37,879,1688
37,234,415
37,528,716
37,1358,2486
37,1891,3621
37,392,555
37,1591,2672
37,1007,1501
37,594,965
37,2024,4278
37,250,446
36,1050,1838
36,277,445
36,1718,3052
36,328,404
36,355,548
36,1063,1677
36,1448,2957
36,1113,2570
36,714,1179
36,482,591
36,243,400
36,1554,2697
36,2333,4609
36,691,1292
36,552,902
36,1437,2716
36,366,507
36,200,337
36,2754,5831
36,34,44
36,1643,3034
36,824,1939
36,1357,2717
35,567,1098
35,1518,2580
35,1417,2404
35,825,1497
35,1223,2074
35,186,250
35,316,413
35,1388,2409
35,1472,2714
35,898,1438
35,265,435
35,714,1231
35,870,1506
35,262,323
35,214,347
35,749,1094
35,1064,1814
35,1948,3982
35,858,1598
35,84,114
35,1998,4400
35,1170,1941
35,1700,3871
35,1177,1836
35,1591,2605
35,341,568
35,1144,2163
35,95,142
35,667,1117
35,1242,2134
35,1273,2273
35,1792,3308
35,395,557
34,998,1635
34,1375,2387
34,1280,2368
34,523,790
34,1264,2149
34,95,148
34,1216,2168
34,1040,2104
34,2078,4070
34,1879,3545
34,345,570
34,229,321
34,427,722
34,229,287
34,1975,4749
34,1165,1855
34,954,1961
34,1188,2001
34,897,1372
34,1134,2252
34,1109,1787
34,428,624
34,504,863
34,218,380
34,2119,3799
33,882,1519
33,335,450
33,897,1418
33,681,1135
33,342,454
33,249,400
33,838,1406
33,426,681
33,178,249
33,1239,2606
33,2402,5751
33,264,428
33,738,1760
33,1339,2697
33,1408,2506
33,719,1064
33,2517,4472
33,875,1590
33,53,68
33,532,668
33,339,471
33,301,433
33,319,461
33,183,262
32,1314,2769
32,188,296
32,556,743
32,363,493
32,468,816
32,1480,3089
32,450,758
32,1316,2330
32,972,1683
32,1414,2761
32,1766,3637
32,135,248
32,718,1133
32,606,1033
32,1053,1865
32,902,1724
32,276,404
32,437,598
32,131,211
32,943,1998
32,444,649
32,763,1234
32,961,1815
32,1829,3529
32,1070,1993
32,408,627
32,2588,4293
31,119,140
31,1168,2163
31,436,810
31,279,421
31,1841,3482
31,889,1692
31,500,828
31,260,382
31,27,31
31,0,0
31,920,1955
31,768,1303
31,1258,2463
31,1672,3421
31,112,171
31,2103,3801
31,222,295
31,316,448
31,857,1419
31,0,0
31,828,1370
31,375,558
31,1216,2593
31,263,326
31,970,1517
31,2579,4764
31,184,284
31,875,1524
31,1822,3329
31,1187,2298
31,168,284
31,491,751
30,76,115
30,1612,2750
30,133,170
30,618,985
30,336,519
30,342,603
30,253,325
30,779,1238
30,1355,2106
30,1826,3554
30,359,622
30,565,999
30,1436,2408
30,1003,1915
30,391,616
30,1120,1824
30,374,487
30,237,367
30,1901,3563
30,640,1079
30,320,435
30,983,1779
30,1462,2620
30,907,1688
30,329,488
30,707,1302
30,581,958
30,325,517
30,184,261
30,346,518
30,551,778
30,2351,5368
30,259,329
30,322,439
30,1452,2836
30,97,129
30,683,1183
30,293,369
30,633,811
29,1575,3130
29,1631,3084
29,696,1428
29,556,847
29,502,862
29,572,928
29,263,350
29,1358,2910
29,1806,3320
29,1029,2148
29,1451,2587
29,720,1143
29,1274,2579
29,943,1699
29,163,258
29,590,1105
29,201,257
29,1763,3681
29,170,279
29,234,312
29,393,550
29,769,1324
29,264,362
29,645,930
29,721,1300
29,220,344
29,1282,2782
29,292,485
29,301,429
29,858,1740
29,824,1419
29,869,1475
29,352,589
29,202,303
29,1943,3511
29,62,82
29,553,867
29,796,1689
28,1741,3677
28,546,837
28,385,508
28,331,533
28,256,433
28,259,389
28,588,988
28,1205,2169
28,168,298
28,1608,3291
28,590,1148
28,3349,6427
28,918,2136
28,61,87
28,1135,2111
28,977,1693
28,286,534
28,462,848
28,195,237
28,1644,2874
28,808,1363
28,738,1027
28,2179,4023
28,27,44
28,945,1679
28,1378,2685
28,2230,4622
28,516,787
28,902,1444
28,863,1537
28,842,1657
28,351,567
28,513,903
28,103,148
28,1040,1674
28,220,322
28,263,402
28,1263,2425
28,176,248
28,604,1009
28,0,0
28,863,1535
28,2790,5364
28,1510,3091
28,281,498
28,390,675
28,1279,2296
28,1880,3799
28,0,0
28,1369,2532
28,101,187
28,604,1090
28,1981,4448
27,966,1722
27,507,853
27,767,1454
27,242,402
27,45,59
27,429,701
27,881,1598
27,2232,4040
27,921,2179
27,2700,5476
27,882,1771
27,1075,1995
27,240,354
27,420,708
27,94,117
27,540,722
27,652,1129
27,334,518
27,1312,2531
27,165,218
27,883,1965
27,1286,2619
27,539,757
27,130,175
27,1647,3251
27,246,397
27,809,1618
27,1313,2592
27,249,389
27,1123,2210
27,421,657
27,798,1501
27,766,1231
27,673,1257
27,401,463
27,732,1350
27,197,244
27,162,209
27,217,345
27,509,1043
27,396,759
27,432,705
26,1025,1968
26,163,222
26,731,1244
26,379,542
26,191,235
26,1996,4046
26,753,1414
26,787,1193
26,1514,3094
26,845,1295
26,1031,1863
26,341,517
26,297,470
26,648,1156
26,208,299
26,134,208
26,1142,2214
26,588,1059
26,1246,2764
26,873,1922
26,124,221
26,418,645
26,994,1473
26,36,56
26,148,183
26,474,823
26,619,1033
26,187,222
26,425,601
26,1148,2150
26,563,1060
26,251,351
26,232,378
26,489,659
26,1022,1786
26,791,1552
26,336,637
26,113,168
26,514,833
26,485,761
26,679,1024
25,2160,4298
25,314,592
25,1119,2057
25,189,248
25,344,397
25,843,1283
25,55,68
25,322,517
25,190,284
25,2524,5794
25,115,176
